,age,diet,group,Colony
Q436_R59_12d25,12d,25%,Twelve.Twenty_five,R59
Q437_R59_12d75,12d,75%,Twelve.Seventy_five,R59
Q438_R45_12d25,12d,25%,Twelve.Twenty_five,R45
Q441_R59_12d50,12d,50%,Twelve.Fifty,R59
Q464_R47_12d75,12d,75%,Twelve.Seventy_five,R47
Q588_R56_9d50,09d,50%,Nine.Fifty,R56
Q595_R53_12d50,12d,50%,Twelve.Fifty,R53
Q623_R53_12d0,12d,0%,Twelve.Zero,R53
Q625_R59_3d50,03d,50%,Three.Fifty,R59
Q633_R56_9d75,09d,75%,Nine.Seventy_five,R56
Q666_R45_3d25,03d,25%,Three.Twenty_five,R45
Q669_R53_3d50,03d,50%,Three.Fifty,R53
Q706_R45_12d0,12d,0%,Twelve.Zero,R45
Q707_R59_12d50,12d,50%,Twelve.Fifty,R59
Q736_R53_3d0,03d,0%,Three.Zero,R53
Q749_R53_12d75,12d,75%,Twelve.Seventy_five,R53
Q755_R53_3d0,03d,0%,Three.Zero,R53
Q765_R53_9d0,09d,0%,Nine.Zero,R53
Q767_R59_9d25,09d,25%,Nine.Twenty_five,R59
Q781_R59_9d75,09d,75%,Nine.Seventy_five,R59
Q785_R51_9d25,09d,25%,Nine.Twenty_five,R51
Q787_R45_9d50,09d,50%,Nine.Fifty,R45
Q788_R45_9d75,09d,75%,Nine.Seventy_five,R45
Q793_R59_12d0,12d,0%,Twelve.Zero,R59
Q806_R59_12d25,12d,25%,Twelve.Twenty_five,R59
Q815_R45_9d25,09d,25%,Nine.Twenty_five,R45
Q820_R45_9d0,09d,0%,Nine.Zero,R45
Q825_R59_3d75,03d,75%,Three.Seventy_five,R59
Q828_R47_3d0,03d,0%,Three.Zero,R47
Q829_R47_3d25,03d,25%,Three.Twenty_five,R47
Q831_R59_3d25,03d,25%,Three.Twenty_five,R59
Q836_R47_12d0,12d,0%,Twelve.Zero,R47
Q837_R47_12d25,12d,25%,Twelve.Twenty_five,R47
Q839_R47_3d75,03d,75%,Three.Seventy_five,R47
Q852_R49_3d25,03d,25%,Three.Twenty_five,R49
Q853_R47_3d0,03d,0%,Three.Zero,R47
Q866_R59_12d75,12d,75%,Twelve.Seventy_five,R59
Q867_R47_9d0,09d,0%,Nine.Zero,R47
Q869_R59_9d50,09d,50%,Nine.Fifty,R59
Q878_R47_3d50,03d,50%,Three.Fifty,R47
Q879_R59_9d0,09d,0%,Nine.Zero,R59
Q888_R47_9d50,09d,50%,Nine.Fifty,R47
Q899_R45_3d75,03d,75%,Three.Seventy_five,R45
Q902_R53_12d50,12d,50%,Twelve.Fifty,R53
Q921_R53_9d25,09d,25%,Nine.Twenty_five,R53
Q922_R53_9d75,09d,75%,Nine.Seventy_five,R53
Q931_R47_3d75,03d,75%,Three.Seventy_five,R47
Q934_R53_3d50,03d,50%,Three.Fifty,R53