,Age
Q436_R59_12d25,12d
Q437_R59_12d75,12d
Q438_R45_12d25,12d
Q441_R59_12d50,12d
Q464_R47_12d75,12d
Q588_R56_9d50,09d
Q595_R53_12d50,12d
Q623_R53_12d0,12d
Q625_R59_3d50,03d
Q633_R56_9d75,09d
Q648_R47_0d,0d
Q666_R45_3d25,03d
Q669_R53_3d50,03d
Q675_R59_0d,0d
Q680_R53_0d,0d
Q706_R45_12d0,12d
Q707_R59_12d50,12d
Q736_R53_3d0,03d
Q749_R53_12d75,12d
Q755_R53_3d0,03d
Q765_R53_9d0,09d
Q767_R59_9d25,09d
Q781_R59_9d75,09d
Q785_R51_9d25,09d
Q787_R45_9d50,09d
Q788_R45_9d75,09d
Q793_R59_12d0,12d
Q806_R59_12d25,12d
Q815_R45_9d25,09d
Q820_R45_9d0,09d
Q825_R59_3d75,03d
Q828_R47_3d0,03d
Q829_R47_3d25,03d
Q831_R59_3d25,03d
Q836_R47_12d0,12d
Q837_R47_12d25,12d
Q839_R47_3d75,03d
Q852_R49_3d25,03d
Q853_R47_3d0,03d
Q866_R59_12d75,12d
Q867_R47_9d0,09d
Q869_R59_9d50,09d
Q878_R47_3d50,03d
Q879_R59_9d0,09d
Q888_R47_9d50,09d
Q899_R45_3d75,03d
Q902_R53_12d50,12d
Q903_R47_0d,0d
Q921_R53_9d25,09d
Q922_R53_9d75,09d
Q931_R47_3d75,03d
Q934_R53_3d50,03d